tgrep.id	entire.sentence	Sentence_type	DE_operator	Numeral	And_test	Or_both_test	Actually_test	Disjunct_relation	Disjunct_individuation	Or_not	
139625:23	"put in garlic and onion powder or chopped onions if you want to do that, you know. what ever, however much effort you feel like putting into it."	imperative	not available	nonum	nochange	nochange	change	A~B	same	no	
118743:60	"and you know, we'll just have to wait and see whether that's approved or not."	declarative	not available	nonum	change	not available	change	A~B	different	yes	
127555:91	"and no matter what the weather is they can walk at a pretty good clip and, and not have to worry A-Bout the weather summer or winter."	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
104118:18	"his middle name is chris, or christopher for for her daddy,"	declarative	not available	nonum	change	change	nochange	A<B	same	no	
24733:51	and you got to divide it two different categories whether you live in the city or whether you live in a more rural place like i do.	declarative	wh	nonum	change	not available	change	A~B	different	no	
56045:26	should these people be allowed to or not.	interrogative	wh	nonum	change	not available	change	A~B	different	yes	
49242:55	"like most areas that are built, um, there were probA-Bly, like two or three styles you could choose from."	declarative	not available	num	change	not available	change	A~B	same	no	
104287:70	"and, um, i don't, i don't know if he's really serious A-Bout it yet or not, you know,"	declarative	wh	nonum	change	not available	change	A~B	different	yes	
70072:47	and i think we got the same thing in the forecast for the next two or three days.	declarative	not available	num	change	not available	change	A~B	same	no	
55955:33	"it might not be the same neighborhood, but the same city or county, because then you're, you're coming in contact with it."	declarative	not available	nonum	change	nochange	change	A>B	same	no	
77801:170	"and you want to be avail-, at least i've wanted to be availA-Ble, when they, for some reason, they had, they were bouncing something off of me. because it was something that was bothering them or they were concerned A-Bout,"	declarative	not available	nonum	change	nochange	change	A~B	same	no	
68546:11	so either you or your husband can be warm	declarative	not available	nonum	nochange	change	change	A~B	different	no	
89756:75	"i don't remember if he said it was sixty dollars a square foot, off the creek and eighty on the creek, or, if it was eighty and a hundred."	declarative	antecedent	num	change	not available	change	A~B	same	no	
78681:73	"and he, uh, would like to just get a fifth wheel and just travel across the country and spend a month here or a couple of weeks there, and just, you know, not, be settled anywhere,"	declarative	not available	nonum	nochange	not available	change	A<B	same	no	
36524:73	"and they said that they had ex-, that the one they had exercised with was three or four times easier."	declarative	not available	num	change	not available	change	A~B	same	no	
25614:31	and you can just mosey on out for three or four hours and have a good time.	declarative	not available	num	change	not available	change	A~B	same	no	
124597:121	"and it's just incredible to think that there's, uh, there are players who are the sons of ball players that used to play against nolan or with nolan, you know,"	declarative	not available	nonum	nochange	not available	change	A~B	different	no	
103194:59	"my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday night"	declarative	not available	nonum	nochange	not available	change	A~B	same	no	
153770:93	"you know, it's like what can you do with that, that you can't do in a self protection situation with like a seven or a twenty shot twelve."	declarative	not available	num	change	change	change	A~B	same	no	
151896:22	"so we go backpacking fifteen or twenty miles,"	declarative	not available	num	change	not available	change	A~B	same	no	
8525:52	"so, uh, what happens is you pay six hundred dollars at the beginning or even before school starts."	declarative	not available	nonum	change	change	nochange	A<B	same	no	
64760:20	whenever they say it two or three times.	declarative	not available	num	change	not available	change	A~B	same	no	
46424:21	"like you take asian countries, or, uh, the eastern countries where women are like in the foreground, uh, in the background and the men are in the foregrounde,"	declarative	not available	nonum	change	change	nochange	A>B	same	no	
94497:68	"and this has been going on at least, uh, i would say, at least twenty-five years or thirty, something like that."	declarative	not available	num	change	not available	change	A~B	same	no	
55117:40	"uh, i'm figuring either one either the eagles or possibly san francisco"	declarative	not available	nonum	change	change	change	A~B	different	no	
80682:39	and i'm thinking A-Bout maybe sponge painting them. either that or maybe rag rolling. to give it kind of a country look.	declarative	not available	nonum	change	change	change	A~B	same	no	
63983:38	"but the cost is, is like, double or sometimes triple, what the regular things you, fertilizers and things you buyf."	declarative	not available	num	nochange	not available	change	A~B	same	no	
157597:36	"and we do sit down at the beginning of every month or the end of every month and write down how much we know we're going to spend and set that money aside,"	declarative	not available	nonum	change	change	change	A~B	same	no	
96977:21	but i probA-Bly talked to seven or eight people.	declarative	not available	num	change	not available	change	A~B	same	no	
6291:93	"i, i, fr-, you know, i, i debate A-Bout whether it's really good or not, you know."	declarative	wh	nonum	change	not available	change	A~B	different	yes	
92707:24	so i like things like golden girls or cheers	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
57817:48	"so i guess i've done probA-Bly, uh, i'd say seven or eight of them."	declarative	not available	num	change	not available	change	A~B	same	no	
41788:38	"so i was always fighting against the idea of looking tailored or manish,"	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
126314:48	"well, i either, teeing off i either slice it or i hook it ever single time"	declarative	not available	nonum	change	not available	change	A~B	different	no	
125651:119	"um, some of the qualifications that i look for was that, uh, you know, the cost, and, um, exactly what they did, if it was structured or nonstructured, if they had a little academic, um, uh, in there, and, um, you know, um, you know, what the qualifications of the teachers' were, and if the place was clean and um, the hours"	declarative	not available	nonum	change	not available	change	A~B	same	no	
18012:53	"i don-, i don't know if i get e s p n or not."	declarative	not available	nonum	change	not available	change	A~B	different	yes	
48874:116	"and, you know, i could go along with that, if, if i could be assured that it would be their natural life in jail and not parole after ten, or twelve years."	declarative	not available	num	change	not available	change	A~B	diff	no	
1036:63	"and i guess that turns out to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it"	declarative	wh	nonum	change	not available	change	A~B	different	yes	
75697:37	"and since that time everybody's got some sort of burglar system or, you know, uh, burglar alarms uh, and including the out, uh, the outer perimeter type, uh, devices, sensors and things like that."	declarative	not available	nonum	change	change	nochange	A<B	same	no	
152813:245	"also, also i have the observation of, uh, with the press is that, like any any stories that i had any first hand knowledge of that i see in the press, you know, which only happened like ten times in my life you know first thing you know for anything of you know or anything that actually had, had more than just a blurb A-Bout it. that the press has managed to just mess up some aspect of the story"	declarative	not available	nonum	change	not available	change	A~B	different	no	
27966:70	"there was not, there's not supposed to be any reason to use this education or this brain that you might have for anything other than your house and your children and how clean can the bathroom floors be on any given day."	declarative	not available	nonum	change	nochange	change	A>B	same	no	
37097:119	"but i, i just don't think they have the resources, if you were to compare, uh, the americans to the soviets as far as home computers are concerned or fact machines, fax machines and cellular phones, and state of the art equipment that we are so used to."	declarative	not available	nonum	nochange	nochange	change	A>B	different	no	
164864:140	"and the, the problem with that is then, then, then people will either, the rich people will either pull their kids out of the public school and put them in private schools or they'll move farther away to get better schools."	declarative	not available	nonum	change	not available	change	A~B	different	no	
137234:56	"this summer we went to, uh, the smokey mountain national park. and, uh, stayed A-Bout three or four days in there."	declarative	not available	num	change	not available	change	A~B	same	no	
73050:45	"especially, you know, if you catch yourself short on cash or if you're on vacation, it's just easier to put everything on a card."	declarative	wh	nonum	change	change	change	A~B	different	no	
30197:23	it would average out to thirty-five or forty dollars a night whichb is a reasonA-Ble rate.	declarative	not available	num	change	not available	change	A~B	same	no	
137591:36	"they've won, like, i think six or seven in a row now,"	declarative	not available	num	change	not available	change	A~B	same	no	
6625:69	"i, i, i guess, in my own, having had the whole three or four minutes to, you know, give it a great deal of thought, you know, um, i, i think i agree with you one hundred percent A-Bout it being some sort of voluntary,"	declarative	not available	num	change	not available	change	A~B	same	no	
46988:18	"i got off my pace or my cordless phone,"	declarative	not available	nonum	change	not available	change	A~B	same	no	
97004:55	"because, uh, i, i guess i placed all but one or two of my calls. and, uh, only because i going to make some money,"	declarative	not available	num	change	not available	change	A~B	same	no	
6194:35	"so. i don't know if you participate in that or not,"	declarative	wh	nonum	change	not available	change	A~B	different	yes	
150670:77	"well, i remember back during the, uh, during the war, everyone here at work always had the radio or the t v on, because that, they were going constantly with that stuff."	declarative	not available	nonum	change	change	change	A~B	different	no	
29159:97	"and, uh, i talked to a thirteen year old last night who's, uh, goes to, uh, one of the plano high schools or junior highs, i guess,"	declarative	not available	nonum	change	not available	change	A~B	different	no	
56988:61	"perhaps that would be a solution if they were required to vote at least for their first three or four years after they become of voting age. required to register and vote for four years,"	declarative	not available	num	change	not available	change	A~B	same	no	
10846:33	i wonder how truthful all of that was or whether there was fiction.	declarative	wh	nonum	nochange	not available	change	A>B	same	no	
176508:24	i think it takes A-Bout three or four times before it gets easy.	declarative	not available	num	change	not available	change	A~B	same	no	
86950:15	"but, the legal person or lawful person should not be penalized because there is the criminal element."	declarative	not available	nonum	nochange	not available	change	A~B	same	no	
102464:49	sometimes i think we pay the bA-By-sitter as much as paying for their dinner or lunches	declarative	not available	nonum	change	change	change	A~B	same	no	
150048:18	i've had two or three of those go out.	declarative	not available	num	change	not available	change	A~B	same	no	
72175:60	"i'm, i guess i probA-Bly put on A-Bout ten, nine or ten pounds, since i stoppedb playing, whiche was A-Bout four years ago."	declarative	not available	num	change	not available	change	A~B	same	no	
143964:138	"i think if it's, uh, if it's a con-, if it's a convicted, uh, felon on parole uh, and he goes out and, and commits another crime or kills somebody, i, you know, i, i feel the same way,"	declarative	not available	nonum	change	change	nochange	A<B	same	no	
25323:87	"um, one of the remarkA-Ble things A-Bout the weather in the summertime here is that quite often the average daytime high of say ninety-nine degrees is within five or six degrees of the all time record high."	declarative	not available	num	change	not available	change	A~B	same	no	
105461:58	"it wasn't like the newer ones that have nice chambers that keep it afloat or keep it, uh, upright again."	declarative	relclause	nonum	nochange	nochange	nochange	A>B	same	no	
46782:51	"i mean it looks, i guess, kind of like, uh, the chevy aerostar or arrow,"	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
54761:52	"it was on one of the networks, i think last weekend. uh, or two weeks ago."	declarative	not available	nonum	change	change	change	A~B	same	no	
4682:83	"but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic, you know, materials, and foods and things."	declarative	not available	nonum	nochange	nochange	change	A<B	same	no	
13665:45	i couldn't remember in tigon had purchased g t e --s phone mail services or if g t e had purchased tigon.	declarative	not available	nonum	change	not available	change	A~B	same	no	
120770:23	and he had it for A-Bout three or four years where we just A-Bout had to lift him and carry him every place he went.	declarative	not available	num	change	not available	change	A~B	same	no	
29361:19	they will have maybe two or three main stories and just spend a very large amount of time.	declarative	not available	num	change	not available	change	A~B	same	no	
54841:46	"do you go by the adsf when you look at thema, or the reviews."	interrogative	not available	nonum	change	nochange	change	A~B	different	no	
149373:37	"you know, i saw something on c n n or on cA-Ble here a while ago that showed some people that had rA-Bbits in apartments and in houses,"	declarative	not available	nonum	change	not available	change	A>B	same	no	
157431:41	i'm not going to work any harder and make any more or create any more jobs.	declarative	negation	nonum	nochange	nochange	change	A~B	different	no	
162444:31	"uh, d c around here stands for drug capital or death capital."	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
150122:69	"uh, i would say the medical, uh, group insurance area as far as, uh, covering medical costs for yourself or family members."	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
145001:59	"but there's still a, an, an inequality in the work forces or jobs."	declarative	not available	nonum	nochange	nochange	change	A<B	same	no	
72563:57	"for some reason it seems to interest me, like people that make a big comeback or, you know, orel hershiser, things like that."	declarative	not available	nonum	nochange	not available	change	A<B	same	no	
19308:17	will there be a union or not.	interrogative	not available	nonum	change	not available	change	A~B	different	yes	
165055:25	but then again you look at a ford or especially a chevy	declarative	not available	nonum	nochange	nochange	nochange	A~B	same	no	
133415:190	"um, i'm not really, uh, sure that i even understand why the administration is proposing, for instance, tax reductions, because it seems to me that if, if, if they're talking A-Bout reducing, uh, the tax that needse to be paid, or the tax that's currently being paid, then that can't, it seems to me it can't possibly, you know, help with the, the deficit picture."	declarative	not available	nonum	change	nochange	nochange	A~B	same	no	
150405:11	but now bench or step aerobics have kind of taken over.	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
24757:57	"even a bad school is a good school up here, where, if i lived in new york city or washington, d c, uh, i would seriously consider moving if i had a child."	declarative	not available	nonum	change	not available	change	A~B	different	no	
166635:51	"but, uh, i don't know if that's been challengedb in the courts or not."	declarative	wh	nonum	change	not available	change	A~B	different	yes	
129837:27	"and just depending on whether you say yes or no, uh, you, you can give him capital punishment"	declarative	wh	nonum	change	not available	change	A~B	different	no	
97709:59	"and i will probA-Bly be going back to work around january, whereas she will be A-Bout, eight or nine months old."	declarative	not available	num	change	not available	change	A~B	same	no	
105245:83	"but, the other thing that i thought of on this is, i wonder if there isn't enough money, uh, in our economy or in our system."	declarative	negation	nonum	change	change	nochange	A>B	same	no	
97699:27	"and she's just started that like yesterday or the day before,"	declarative	not available	nonum	change	not available	change	A~B	different	no	
47298:37	"and then the nights are reasonA-Bly warm, you know, sixties or seventies."	declarative	not available	num	change	not available	change	A~B	same	no	
30178:66	"and whe-, when i finally got over there, it had fallen, uh, two or three francs to the dollar."	declarative	not available	num	change	not available	change	A~B	same	no	
129876:44	"i mean, i don't know whether i'd stay in prison or not"	declarative	wh	nonum	change	not available	change	A~B	different	yes	
169940:25	"there's nothing, maybe a picture or two that belongs to that person"	declarative	not available	num	change	not available	change	A~B	same	no	
153470:46	"so, we are on a schedule where i try every, uh, three or four years to, to buy a new one."	declarative	not available	num	change	not available	change	A~B	same	no	
145555:164	"if you've got a pretty good rating, uh, credit rating you can call your in-, you know, your, your card, wherever you got your card from and tell them, hey, either drop my rates or drop my, you know, uh annual fees"	declarative	not available	nonum	change	change	change	A~B	different	no	
80247:17	"was it for health, or, to look good."	interrogative	not available	nonum	change	nochange	change	A~B	different	no	
56013:64	"there definitely would have to be a major p r campaign in each community, each county, uh, parish or however the state was divided up."	declarative	not available	nonum	change	not available	nochange	A>B	same	no	
137750:18	there is only A-Bout five or six options.	declarative	not available	num	change	not available	change	A~B	same	no	
83258:73	"when i have heard A-Bout england's elections, they are allowed to run for what, a total of six or eight weeks. even for the higher offices in the, in the land."	declarative	not available	num	change	not available	change	A~B	same	no	
26907:20	did you teach in all subjects or in all grade levels	interrogative	not available	nonum	change	change	change	A~B	different	no	
170713:59	"do you know anyone that, uh, is, is in a nursing home or has ever been in one."	interrogative	not available	nonum	change	nochange	change	A>B	same	no	
72352:13	"believe it or not though the, all the women that stay home are real busy when they are home."	declarative	not available	nonum	change	not available	change	A~B	different	yes	
76508:96	"they seem to be burdening the school system more and more with problems, any problems that a child might have, whether it's actually a school related thing or not"	declarative	wh	nonum	change	not available	change	A~B	different	yes	
150350:31	"do you do, uh, any anaerobic type, weight lifting or weight training type exercise."	interrogative	not available	nonum	change	nochange	nochange	A>B	same	no	
140027:33	"i guess we didn't have it high enough or he didn't get hit in just the right spot,"	declarative	not available	nonum	change	nochange	change	A~B	different	no	
121188:35	it's what they've done in the spring or the fall.	declarative	not available	nonum	change	change	change	A~B	different	no	
14253:43	"i wondered if it would help you sometimes fill in the gaps or recognize discrepancies that other people, people like myself might not pick up on."	declarative	wh	nonum	nochange	nochange	change	A<B	same	no	
162718:32	"it was always my impression that the justice himself, or herself, had the final say."	declarative	not available	nonum	change	not available	change	A~B	same	no	
86874:94	"but, you know, any kind of handgun at all, if it will fit in a handgun and a rifle you would still have to buy it, or sign up for it,"	declarative	not available	nonum	change	change	nochange	A>B	different	no	
62367:43	"but say, i think bangladesh would have been a good example or some, some really desperate situation"	declarative	not available	nonum	change	not available	nochange	A>B	same	no	
76731:61	"and, so, i mean, you have to find out whether there's a legitimate reason, or whether this is a warning signal."	declarative	wh	nonum	change	not available	change	A~B	different	no	
66023:36	"it was like only, it was either sixty percent or forty percent, go to college."	declarative	not available	num	change	not available	change	A~B	same	no	
91263:36	but i think you can get a good education at public or private	declarative	not available	nonum	nochange	change	change	A~B	different	no	
74049:29	"he used to go back twice or three times a year, you know, because he missed it."	declarative	not available	num	change	not available	change	A~B	same	no	
145063:39	and hers was the only income we had for three or four months	declarative	not available	num	change	not available	change	A~B	same	no	
131692:34	"they'd leave work and go to a golf course, or a little country club they belonged to back in richmond, virginia and just, uh, play nine holes of golf."	declarative	not available	nonum	change	change	change	A~B	same	no	
27828:55	"our generation was, uh, so in tuned to music of that time that we identify goodness or badness with, uh, things now with the music that's behinds them."	declarative	not available	nonum	nochange	not available	change	A~B	different	no	
124658:85	"it's hard to put the finger on, uh, what's worse, you know, the acid rain situation or the ozone depletion, um, with, uh, your hydrocarbons, uh causing the damage in which,"	declarative	not available	nonum	change	not available	change	A~B	different	no	
152640:26	"and when you send it to washington or send it to your state capitol, uh, a lot of it stays there"	declarative	wh	nonum	change	nochange	change	A~B	same	no	
45877:58	"because e-, everything, i mean anything that tom landry wanted or had, he was going to change it."	declarative	not available	nonum	nochange	not available	change	A~B	different	no	
35519:24	"oh, i'm thinking around twenty or twenty-five dollars."	declarative	not available	num	change	not available	change	A~B	same	no	
152622:62	"uh, my, my opinion of taxes is that we just send money to washington or to the state and they say they are going to send some back,"	declarative	not available	nonum	change	nochange	change	A~B	same	no	
161207:19	"because somebody has a child or, uh, likes children doesn't really mean that they're qualified to give the child the kind of supervision and training that that, uh,"	declarative	not available	nonum	change	nochange	change	A~B	different	no	
92652:59	"it looks like, it looks like it might be one of these seven or eight year run things. where you kind of can spend your whole career on one show."	declarative	not available	num	change	not available	change	A~B	same	no	
128817:104	"i, i'd also advise them that, uh, if mom and dad paid for their college, that, uh, if they decided to drop a course or decided that they need another year, then they'd have to get a loan to continue."	declarative	antecedent	nonum	change	change	change	A~B	different	no	
70908:13	our first fifteen years or eighteen years of being married nothing worked.	declarative	not available	num	change	not available	change	A~B	same	no	
46142:88	"it was right close to when we was going to find out if we was going to get to be in the playoffs, or not."	declarative	wh	nonum	change	not available	change	A~B	different	yes	
68972:52	"i, you know, go to cleveland to see them play, the indians or the red sox,"	declarative	not available	nonum	nochange	change	change	A~B	different	no	
138388:14	"she was four, or three,"	declarative	not available	num	change	not available	change	A~B	same	no	
95915:62	"and you sometimes wonder when these people protest so much whether they're really concerned A-Bout their rights, or whether they're really concerned A-Bout something else."	declarative	wh	nonum	change	not available	change	A~B	different	no	
7017:103	"well the, the other thing some people are not aware of, is they will use their a, their credit card like their visa or their mastercard for cash"	declarative	not available	nonum	change	not available	change	A~B	same	no	
170776:46	"if, if you can take care of yourself at all or have someone that can take care of you, then you stay where you aref."	declarative	not available	nonum	change	nochange	change	A~B	different	no	
46012:28	"i can't remember whether we played three or four quarterbacks,"	declarative	wh	num	change	not available	change	A~B	same	no	
76530:72	"uh, and you can't expect in a classroom for a particular course an hour a day to counteract, uh, sixteen or seventeen years of influence at home."	declarative	not available	num	change	not available	change	A~B	same	no	
34104:22	you can make it either tight or as loose as loose can get.	declarative	not available	nonum	change	not available	change	A~B	different	no	
142117:49	"and i even had, uh, i guess it wasf last year or the year before, i had some out"	declarative	not available	nonum	change	not available	change	A~B	same	no	
62411:39	and i don't think you could have done it fifty or a hundred years ago either.	declarative	not available	num	change	not available	change	A~B	same	no	
75196:18	"she woke up A-Bout three or four o'clock in the morning, water dripping from hers."	declarative	not available	num	change	not available	change	A~B	same	no	
95254:54	"and i couldn't just, you know, wait for eight, three or four months and then bring them back to her"	declarative	not available	num	change	not available	change	A~B	same	no	
42766:91	"because i started shooting, my dad started letting me shoot like a little air b b gun, when i was probA-Bly five or six years old."	declarative	not available	num	change	not available	change	A~B	same	no	
55759:30	i think i have gone home maybe once or twice slightly sore.	declarative	not available	num	change	not available	change	A~B	same	no	
129330:26	"but, unemployment now in dallas, or in texas is up around six point,"	declarative	not available	nonum	change	not available	nochange	A>B	different	no	
20453:61	"and it will, if have you a thirty year note, it will take like seven or plus years off of your note."	declarative	not available	nonum	change	not available	change	A>B	same	no	
123090:99	"i think, uh, it's in everyone's nature to some degree to want to get out and explore something they haven't, or experience something, you know, indifferent."	declarative	not available	nonum	nochange	change	nochange	A>B	same	no	
362:41	"that's just a matter of defining priorities, i guess or some priorities anyway."	declarative	not available	nonum	change	not available	nochange	A>B	same	no	
8347:26	and they're good for A-Bout five years or four years	declarative	not available	num	change	not available	change	A~B	same	no	
175450:86	"and, and, but of course most time, most of the time management has a hard time distributing or getting the word out to the people who must know."	declarative	not available	nonum	change	not available	nochange	A~B	same	no	
52656:78	"and, and go ahead and get the punishment phase out of the way, because it doesn't do the criminal or the victim's family, r-, r-, any of us, the taxpayer any good to have him sitting around for months and years."	imperative	not available	nonum	nochange	nochange	change	A~B	different	no	
14292:63	"um, and it's one of those that i can ei-, read either an article or a couple of pages of those brief excerpts in the time frame that i'm going to spend in there."	declarative	not available	nonum	change	change	change	A>B	different	no	
164667:49	"and it's just sort of a, you know, four or five pages that covers what's going on in plano."	declarative	not available	num	change	not available	change	A~B	same	no	
132821:30	"but, uh, it'll go up to fifty or sixty almost."	declarative	not available	num	change	not available	change	A~B	same	no	
122735:37	and the other schools were built back in maybe the fifties or early sixties	declarative	not available	num	change	not available	change	A~B	same	no	
123672:38	"somebody said, you know, you're either a stranger or a fool to try to predict texas weather,"	declarative	not available	nonum	change	nochange	change	A~B	different	no	
4799:38	and they're still let out on the street after one or two years.	declarative	not available	num	change	not available	change	A~B	same	no	
71717:36	i don't know if you have had that problem there or not.	declarative	wh	nonum	change	not available	change	A~B	different	yes	
24807:72	or if you're going to go the science route you can go to a target school that specializes in science or art.	declarative	not available	nonum	change	change	change	A~B	different	no	
34018:36	"uh, my gun hasn't been shotf in a year or two."	declarative	not available	num	change	not available	change	A~B	same	no	
9412:60	"it's, it's not, not that it's just hot or dry,"	declarative	relclause	nonum	change	not available	change	A~B	same	no	
139019:32	"it's not as humid. as houston, say, or atlanta,"	declarative	not available	nonum	nochange	not available	change	A~B	same	no	
154689:23	i only do it probA-Bly two or three times a week.	declarative	not available	num	change	not available	change	A~B	same	no	
17758:53	"i haven't decided whether, whether i want to play yet or not"	declarative	wh	nonum	change	not available	change	A~B	different	yes	
86671:25	"actually i paid A-Bout either a thousand dollars or a little bit,"	declarative	not available	nonum	change	not available	nochange	A>B	same	no	
50680:36	"what do you think A-Bout the, uh, peace corps or public service commitment."	interrogative	not available	nonum	nochange	nochange	nochange	A>B	same	no	
173549:65	"of course, if he's fallen in love with drugs and there isn't anything but getting stoned or high is, is the only thing in life that seems to be meaningful, then maybe there is no hope."	declarative	not available	nonum	nochange	not available	nochange	A~B	same	no	
152368:30	"you probA-Bly have a better team, uh, cooperation, or team playing, atmosphere."	declarative	not available	nonum	nochange	not available	nochange	A<B	same	no	
102220:49	"that sounds like not as recent social changes, too, like back to the sixties or fifties, i guess."	declarative	not available	num	change	not available	change	A~B	same	no	
84467:25	and is sold as purple buddy or sometimes sold as straw flower.	declarative	not available	nonum	nochange	not available	change	A~B	same	no	
79690:66	"but now i think there are tests that can be conducted, uh, to tell whether or not the puppies have the, have it."	declarative	wh	nonum	change	not available	change	A~B	different	yes	
143084:47	"like, would you go over and spend a lot of time in one place, or travel to whole bunch of different places in one week."	interrogative	not available	nonum	change	change	change	A~B	different	no	
1147:55	have you ever gotten one of those calls that is either generated by a computer or somebody going down a list	interrogative	not available	nonum	change	not available	change	A~B	different	no	
1200:36	"but if they're going to offer these services, or these recorded message, everything, they ought to be stuck working with the phone book like everybody else instead of using a computer to go through and just go down every sequence of numbers for this certain area code and call them."	declarative	not available	nonum	change	nochange	change	A<B	same	no	
39230:62	"but with little ones, i'd be kind of scared, to get anything that has teeth or claws."	declarative	not available	nonum	change	nochange	change	A~B	same	no	
102655:14	"uh, a waitress or waiter that waits the tA-Ble, it's nice that they're attentive"	declarative	not available	nonum	change	not available	change	A~B	same	no	
57886:97	"i-, it frustrates him because of the support that they have and the support that the vietnam vets did not have, from the people or the administration, either one."	declarative	not available	nonum	change	nochange	change	A~B	same	no	
93263:156	"i, i wonder how, how you instill in people the necessity for doing just a little bit extra to, to make this whole thing work. i mean, the extra like washing out bottles and jars, or the extra of actually, uh, making sure that, uh, you take stuff over to, you know,"	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
31292:58	"and i keep thinking, you know, gifted is, is einstein or, you know, uh, musical prodigies."	declarative	not available	nonum	nochange	nochange	change	A>B	same	no	
99475:12	i visited once or twice.	declarative	not available	num	change	not available	change	A~B	same	no	
57956:30	"uh, you know whether it was justified or not, i know, that they probA-Bly felt like we were going in for a good cause."	declarative	wh	nonum	change	not available	change	A~B	different	yes	
170074:84	"and it, that i, i don't know if i ever went as far as three months or not i-, i-, in keeping that kind of data."	declarative	wh	nonum	change	not available	change	A~B	different	yes	
130040:62	"well, i found out after washing out many a peanut butter jar that they're not a recycling number one or two."	declarative	not available	num	change	not available	change	A~B	same	no	
54645:43	"you see it for, uh, you know a couple of hours or an hour"	declarative	not available	nonum	change	not available	change	A<B	same	no	
106579:87	so. it became dangerous for us to keep transporting her back and forth in the car because she was so wobbly and needed a walker or a wheel chair	declarative	not available	nonum	change	not available	change	A~B	same	no	
173411:18	and then they have naps or rest period.	declarative	not available	nonum	change	not available	nochange	A>B	same	no	
94302:19	"well, get a towel or go change."	imperative	not available	nonum	change	change	change	A~B	different	no	
59616:52	and it doesn't matter what restrictions you put on that type of weapon or a class three firearm.	declarative	not available	nonum	change	nochange	nochange	A<B	same	no	
174625:55	"if i, if i elicit good behavior i'm out in maybe five or ten."	declarative	not available	num	change	not available	change	A~B	same	no	
134089:60	"and they do post, uh, uh, warnings for people who have, uh, heart diseases or respiratory problems during that summer season."	declarative	not available	nonum	change	change	change	A~B	same	no	
168438:37	"i've never had a, a punishment or a, a crime like a murder touch my immediate family"	declarative	negation	nonum	change	not available	nochange	A<B	same	no	
35654:67	"but, you know, that's a sign that i'm going to have to do something sooner or later."	declarative	not available	nonum	change	not available	change	A~B	different	no	
133392:61	"um, short term, i don't think anything's going to be done A-Bout it or probA-Bly should be done A-Bout it."	declarative	negation	nonum	change	nochange	nochange	A>B	different	no	
93867:26	"but if it's like a social activity or a recreational activity, i don't mind"	declarative	antecedent	nonum	change	change	change	A>B	same	no	
37770:39	"but i wouldn't want to go teach high school or junior high,"	declarative	negation	nonum	change	not available	change	A~B	same	no	
63853:64	"i don't know how, how soon they're going to do it, or how organized it's going to be,"	declarative	wh	nonum	nochange	not available	change	A~B	different	no	
31580:134	"i mean, he, he puts himself in the hospital fairly regularly thinking that, you know, he, he's not sure if he's going try to commit suicide or not."	declarative	wh	nonum	change	not available	change	A~B	different	yes	
106103:34	and he left it up to me if i worked or not.	declarative	wh	nonum	change	not available	change	A~B	different	yes	
33778:41	do you like to exercise because you want to or because you have to.	interrogative	not available	nonum	change	nochange	change	A~B	different	no	
134049:25	"i think i've bought one or two new cars in my life,"	declarative	not available	num	change	not available	change	A~B	same	no	
171916:24	"you go, you know three or four hours before the game."	declarative	not available	num	change	not available	change	A~B	same	no	
109764:99	"oh, when we first were, were here, it was like we'd take maybe a, oh, a grocery sack full or maybe two grocery sacks full,"	declarative	not available	nonum	change	not available	change	A~B	same	no	
30997:16	"i read A-Bout one or two thick novels like that a year. you know,"	declarative	not available	num	change	not available	change	A~B	same	no	
70078:22	"have y'all been having any heat waves or like the ninety degree,"	interrogative	not available	nonum	change	nochange	nochange	A>B	same	no	
54571:48	a lot of things we try to catch like at the dollar theater or matinees	declarative	not available	nonum	nochange	change	change	A~B	same	no	
145702:45	"and, and they always have, you know, two or three new onesf to adde to the list, you know,"	declarative	not available	num	change	not available	change	A~B	same	no	
58315:64	"but human nature being such as it is, i would think it would take, probA-Bly, two or three years before people co-, could completely cut the cord."	declarative	not available	num	change	not available	change	A~B	same	no	
75880:7	you or the insurance companies never see any of that money.	declarative	not available	nonum	nochange	nochange	change	A~B	different	no	
170249:63	"you know. because it's not a person's fault that, you know, people not buying or businesses are, are not on the up and up all the time, you know."	declarative	relclause	nonum	nochange	nochange	nochange	A>B	same	no	
173510:113	"well, it seems like, well it, it seems as if in the past typically there have been a lot of cases of people being wrongly tried or wrongly punishedb,"	declarative	not available	nonum	change	change	change	A~B	same	no	
162665:33	i don't know if i'm making any sense or not.	declarative	wh	nonum	change	not available	change	A~B	different	yes	
91264:39	"but i think you can also get a bad education at public or private, you know,"	declarative	not available	nonum	nochange	not available	change	A~B	different	no	
